system,system_name,achievement_met,achievement_eligible,value_added_met,value_added_eligible,BB_reduction_met,BB_reduction_eligible,met_achievement_goal,met_value_added_goal,met_BB_reduction_goal,met_minimum_performance_goal
10.0,Anderson County,2,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
11.0,Clinton City,2,2,2,2,2,2,TRUE,TRUE,TRUE,TRUE
12.0,Oak Ridge City,2,3,1,3,2,3,TRUE,TRUE,TRUE,TRUE
20.0,Bedford County,3,3,0,3,3,3,TRUE,FALSE,TRUE,FALSE
30.0,Benton County,3,3,1,3,3,3,TRUE,TRUE,TRUE,TRUE
40.0,Bledsoe County,2,3,1,3,2,3,TRUE,TRUE,TRUE,TRUE
50.0,Blount County,2,3,2,3,1,3,TRUE,TRUE,TRUE,TRUE
51.0,Alcoa City,1,3,1,3,2,3,TRUE,TRUE,TRUE,TRUE
52.0,Maryville City,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
60.0,Bradley County,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
61.0,Cleveland City,2,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
70.0,Campbell County,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
80.0,Cannon County,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
92.0,Hollow Rock - Bruceton,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
93.0,Huntingdon Special School District,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
94.0,McKenzie Special School District,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
95.0,South Carroll Special School District,3,3,3,3,2,2,TRUE,TRUE,TRUE,TRUE
97.0,West Carroll Special School District,1,3,1,3,2,3,TRUE,TRUE,TRUE,TRUE
100.0,Carter County,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
101.0,Elizabethton City,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
110.0,Cheatham County,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
120.0,Chester County,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
130.0,Claiborne County,2,3,0,3,3,3,TRUE,FALSE,TRUE,FALSE
140.0,Clay County,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
150.0,Cocke County,3,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
